idx,data_preprocessing:categorical_transformer:categorical_encoding:__choice__,data_preprocessing:categorical_transformer:category_coalescence:__choice__,data_preprocessing:categorical_transformer:category_coalescence:minority_coalescer:minimum_fraction,data_preprocessing:numerical_transformer:imputation:strategy,data_preprocessing:numerical_transformer:rescaling:__choice__,data_preprocessing:numerical_transformer:rescaling:quantile_transformer:n_quantiles,data_preprocessing:numerical_transformer:rescaling:quantile_transformer:output_distribution,data_preprocessing:numerical_transformer:rescaling:robust_scaler:q_max,data_preprocessing:numerical_transformer:rescaling:robust_scaler:q_min,feature_preprocessor:__choice__,feature_preprocessor:extra_trees_preproc_for_regression:bootstrap,feature_preprocessor:extra_trees_preproc_for_regression:criterion,feature_preprocessor:extra_trees_preproc_for_regression:max_depth,feature_preprocessor:extra_trees_preproc_for_regression:max_features,feature_preprocessor:extra_trees_preproc_for_regression:max_leaf_nodes,feature_preprocessor:extra_trees_preproc_for_regression:min_samples_leaf,feature_preprocessor:extra_trees_preproc_for_regression:min_samples_split,feature_preprocessor:extra_trees_preproc_for_regression:min_weight_fraction_leaf,feature_preprocessor:extra_trees_preproc_for_regression:n_estimators,feature_preprocessor:fast_ica:algorithm,feature_preprocessor:fast_ica:fun,feature_preprocessor:fast_ica:n_components,feature_preprocessor:fast_ica:whiten,feature_preprocessor:feature_agglomeration:affinity,feature_preprocessor:feature_agglomeration:linkage,feature_preprocessor:feature_agglomeration:n_clusters,feature_preprocessor:feature_agglomeration:pooling_func,feature_preprocessor:kernel_pca:coef0,feature_preprocessor:kernel_pca:degree,feature_preprocessor:kernel_pca:gamma,feature_preprocessor:kernel_pca:kernel,feature_preprocessor:kernel_pca:n_components,feature_preprocessor:kitchen_sinks:gamma,feature_preprocessor:kitchen_sinks:n_components,feature_preprocessor:nystroem_sampler:coef0,feature_preprocessor:nystroem_sampler:degree,feature_preprocessor:nystroem_sampler:gamma,feature_preprocessor:nystroem_sampler:kernel,feature_preprocessor:nystroem_sampler:n_components,feature_preprocessor:pca:keep_variance,feature_preprocessor:pca:whiten,feature_preprocessor:polynomial:degree,feature_preprocessor:polynomial:include_bias,feature_preprocessor:polynomial:interaction_only,feature_preprocessor:random_trees_embedding:bootstrap,feature_preprocessor:random_trees_embedding:max_depth,feature_preprocessor:random_trees_embedding:max_leaf_nodes,feature_preprocessor:random_trees_embedding:min_samples_leaf,feature_preprocessor:random_trees_embedding:min_samples_split,feature_preprocessor:random_trees_embedding:min_weight_fraction_leaf,feature_preprocessor:random_trees_embedding:n_estimators,feature_preprocessor:select_percentile_regression:percentile,feature_preprocessor:select_percentile_regression:score_func,feature_preprocessor:select_rates_regression:alpha,feature_preprocessor:select_rates_regression:mode,feature_preprocessor:select_rates_regression:score_func,regressor:__choice__,regressor:adaboost:learning_rate,regressor:adaboost:loss,regressor:adaboost:max_depth,regressor:adaboost:n_estimators,regressor:ard_regression:alpha_1,regressor:ard_regression:alpha_2,regressor:ard_regression:fit_intercept,regressor:ard_regression:lambda_1,regressor:ard_regression:lambda_2,regressor:ard_regression:n_iter,regressor:ard_regression:threshold_lambda,regressor:ard_regression:tol,regressor:decision_tree:criterion,regressor:decision_tree:max_depth_factor,regressor:decision_tree:max_features,regressor:decision_tree:max_leaf_nodes,regressor:decision_tree:min_impurity_decrease,regressor:decision_tree:min_samples_leaf,regressor:decision_tree:min_samples_split,regressor:decision_tree:min_weight_fraction_leaf,regressor:extra_trees:bootstrap,regressor:extra_trees:criterion,regressor:extra_trees:max_depth,regressor:extra_trees:max_features,regressor:extra_trees:max_leaf_nodes,regressor:extra_trees:min_impurity_decrease,regressor:extra_trees:min_samples_leaf,regressor:extra_trees:min_samples_split,regressor:extra_trees:min_weight_fraction_leaf,regressor:gaussian_process:alpha,regressor:gaussian_process:thetaL,regressor:gaussian_process:thetaU,regressor:gradient_boosting:early_stop,regressor:gradient_boosting:l2_regularization,regressor:gradient_boosting:learning_rate,regressor:gradient_boosting:loss,regressor:gradient_boosting:max_bins,regressor:gradient_boosting:max_depth,regressor:gradient_boosting:max_leaf_nodes,regressor:gradient_boosting:min_samples_leaf,regressor:gradient_boosting:n_iter_no_change,regressor:gradient_boosting:scoring,regressor:gradient_boosting:tol,regressor:gradient_boosting:validation_fraction,regressor:k_nearest_neighbors:n_neighbors,regressor:k_nearest_neighbors:p,regressor:k_nearest_neighbors:weights,regressor:liblinear_svr:C,regressor:liblinear_svr:dual,regressor:liblinear_svr:epsilon,regressor:liblinear_svr:fit_intercept,regressor:liblinear_svr:intercept_scaling,regressor:liblinear_svr:loss,regressor:liblinear_svr:tol,regressor:libsvm_svr:C,regressor:libsvm_svr:coef0,regressor:libsvm_svr:degree,regressor:libsvm_svr:epsilon,regressor:libsvm_svr:gamma,regressor:libsvm_svr:kernel,regressor:libsvm_svr:max_iter,regressor:libsvm_svr:shrinking,regressor:libsvm_svr:tol,regressor:random_forest:bootstrap,regressor:random_forest:criterion,regressor:random_forest:max_depth,regressor:random_forest:max_features,regressor:random_forest:max_leaf_nodes,regressor:random_forest:min_impurity_decrease,regressor:random_forest:min_samples_leaf,regressor:random_forest:min_samples_split,regressor:random_forest:min_weight_fraction_leaf,regressor:sgd:alpha,regressor:sgd:average,regressor:sgd:epsilon,regressor:sgd:eta0,regressor:sgd:fit_intercept,regressor:sgd:l1_ratio,regressor:sgd:learning_rate,regressor:sgd:loss,regressor:sgd:penalty,regressor:sgd:power_t,regressor:sgd:tol
32,one_hot_encoding,no_coalescense,,median,none,,,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,True,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,True,mae,None,0.9338215535313169,None,0.0,19,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,one_hot_encoding,minority_coalescer,0.04645543125016201,mean,normalize,,,,,fast_ica,,,,,,,,,,parallel,logcosh,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.212626084977884,,5,0.0015415613476813233,6.640894724769883,rbf,-1,False,0.017904857177273095,,,,,,,,,,,,,,,,,,,,
39,no_encoding,minority_coalescer,0.011068864198198308,mean,quantile_transformer,1184,uniform,,,feature_agglomeration,,,,,,,,,,,,,,euclidean,average,396,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mae,None,0.2629584742564036,None,0.0,7,2,0.0,,,,,,,,,,,
42,one_hot_encoding,minority_coalescer,0.007811987693494688,median,normalize,,,,,select_rates_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1321398918901187,fwe,f_regression,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mae,None,0.3111708048600504,None,0.0,10,15,0.0,,,,,,,,,,,
44,no_encoding,no_coalescense,,most_frequent,robust_scaler,,,0.7566903971981842,0.23911318494580677,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,True,mse,None,0.9278071734519496,None,0.0,1,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,one_hot_encoding,minority_coalescer,0.021799071146597144,mean,quantile_transformer,708,normal,,,fast_ica,,,,,,,,,,deflation,cube,1092,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decision_tree,,,,,,,,,,,,,friedman_mse,1.0824982038272377,1.0,None,0.0,8,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,one_hot_encoding,no_coalescense,,most_frequent,standardize,,,,,select_rates_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17087168158069016,fpr,f_regression,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mae,None,0.40266340997259764,None,0.0,20,18,0.0,,,,,,,,,,,
50,one_hot_encoding,no_coalescense,,median,normalize,,,,,select_percentile_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.05991405121806,f_regression,,,,decision_tree,,,,,,,,,,,,,mae,1.5838441524251121,1.0,None,0.0,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,no_encoding,minority_coalescer,0.13277796226003102,median,quantile_transformer,922,uniform,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,True,mse,None,0.9995383036654496,None,0.0,2,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,one_hot_encoding,no_coalescense,,most_frequent,minmax,,,,,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,4.1027858719373834e-06,0.04653271441448668,least_squares,255,None,22,1,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,no_encoding,minority_coalescer,0.010243616870970263,median,none,,,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,True,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,3.1965031682021837e-10,0.05675047318911741,least_squares,255,None,31,30,5,loss,1e-07,0.08726084805734624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,one_hot_encoding,minority_coalescer,0.0029606590109036474,mean,minmax,,,,,select_rates_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037549084048659524,fdr,f_regression,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,6.8592848633417245e-09,0.07878927108453751,least_squares,255,None,31,20,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
