@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2350,1.0,87,0.4334563024604894,ok
242,1.0,88,0.004435005473292231,ok
244,1.0,89,0.11299340116951095,ok
75125,1.0,90,0.02764446354102701,ok
75185,1.0,91,0.12496104630560512,ok
75163,1.0,92,0.06028889906057755,ok
75177,1.0,93,0.01665208483099001,ok
75189,1.0,94,0.018997335523849523,ok
75244,1.0,95,0.05751860374033102,ok
75219,1.0,96,0.019014961935710395,ok
75222,1.0,97,0.042450467864516894,ok
75159,1.0,98,0.0727393409768915,ok
75175,1.0,99,0.10273792069636178,ok
75109,1.0,100,0.3104160010871272,ok
254,1.0,101,0.0,ok
75105,1.0,102,0.02323751084222181,ok
75106,1.0,103,0.0984872946040698,ok
75212,1.0,104,0.24924491159247264,ok
75099,1.0,105,0.13530082531888465,ok
75248,1.0,106,0.07634255384916955,ok
233,1.0,107,0.004741406468913745,ok
75235,1.0,108,0.000554776375253252,ok
75226,1.0,109,0.0039514557696298525,ok
75132,1.0,110,0.06444504529900186,ok
75127,1.0,111,0.331949251277744,ok
251,1.0,112,0.0,ok
75161,1.0,113,0.06489184296597084,ok
75143,1.0,114,0.012743678696242933,ok
75114,1.0,115,0.033692683048827,ok
75182,1.0,116,0.11142020747002501,ok
75112,1.0,117,0.11395276511484231,ok
75210,1.0,118,0.0,ok
75205,1.0,119,0.1792403445377999,ok
75090,1.0,120,0.045093905198828055,ok
275,1.0,121,0.03764515050098605,ok
288,1.0,122,0.12226957533205662,ok
75092,1.0,123,0.08029308080458974,ok
3043,1.0,124,0.016950946171064296,ok
75249,1.0,125,0.004668347424113817,ok
75126,1.0,126,0.06609570110885421,ok
75225,1.0,127,0.05374129282545659,ok
75141,1.0,128,0.054696099660942576,ok
75107,1.0,129,0.0681982936352995,ok
75097,1.0,130,0.06455674442413495,ok
% 
% 
% 
